Frequenz,Ue,Ua,Phi,dB
10,1.011,1,0.32,-0.09502311182002
50,1.012,1,-0.3,-0.103610250075607
100,1.012,1,-0.4,-0.103610250075607
500,1.011,1,-0.6,-0.09502311182002
1000,1.01,1,-1.17,-0.086427475652852
2000,1.008,1.013,-1.3,0.042978265015479
3000,1.003,1.029,-2.4,0.222288834840296
5000,0.98,1.077,-4.8,0.819792552109734
7000,0.941,1.154,-7,1.77232370784911
1.00E+04,0.812,1.318,-14.1,4.20718762033632
1.20E+04,0.645,1.421,-24.3,6.86068726584404
1.30E+04,0.534,1.46,-32.9,8.73623197511761
1.40E+04,0.424,1.451,-48,10.6860311169001
1.45E+04,0.376,1.433,-58.6,11.6211669093937
1.50E+04,0.345,1.403,-72,12.1847715191017
1.52E+04,0.338,1.391,-77.8,12.2882085942878
1.55E+04,0.333,1.376,-86.7,12.3234840078635
15580,0.333,1.347,-90,12.1384672443333
15700,0.334,1.349,-92.5,12.1253096572068
1.60E+04,0.34,1.32,-101.2,11.7819002832719
1.70E+04,0.398,1.214,-124.5,9.68671229331102
2.00E+04,0.627,0.884,-152.3,2.98369448364713
3.00E+04,0.902,0.34,-191.3,-8.47455240999373
5.00E+04,0.982,0.112,-187,-18.8578693023354
7.00E+04,1,0.053,-175,-25.5144826079842
1.00E+05,1.012,0.027,-178,-31.4763349668959
1.00E+06,1.031,0.002,-180,-54.2445733923907
